user_id,date,expense_type,amount,,,user ids
39853,2024-01-23,food,15,,,
39853,2024-01-23,alcohol,21,,,
91235,2024-01-24,coffee,6,,,
91235,2024-01-24,food,38,,,
91235,2024-01-24,alcohol,23,,,
93430,2024-01-24,coffee,12,,,
93430,2024-01-24,food,37,,,
93430,2024-01-24,alcohol,22,,,
5963,2024-01-24,coffee,5,,,
5963,2024-01-24,food,34,,,
5963,2024-01-24,alcohol,13,,,
29926,2024-01-24,coffee,5,,,
29926,2024-01-24,food,17,,,
29926,2024-01-24,alcohol,13,,,
67471,2024-01-24,coffee,7,,,
67471,2024-01-24,food,25,,,
67471,2024-01-24,alcohol,12,,,
36235,2024-01-24,coffee,12,,,
36235,2024-01-24,food,19,,,
36235,2024-01-24,alcohol,0,,,
8122,2024-01-24,coffee,8,,,
8122,2024-01-24,food,23,,,
8122,2024-01-24,alcohol,3,,,
85641,2024-01-24,coffee,7,,,
85641,2024-01-24,food,17,,,
85641,2024-01-24,alcohol,16,,,
88791,2024-01-24,coffee,9,,,
88791,2024-01-24,food,35,,,
88791,2024-01-24,alcohol,0,,,
39853,2024-01-24,coffee,11,,,
39853,2024-01-24,food,35,,,
39853,2024-01-24,alcohol,13,,,
91235,2024-01-25,coffee,6,,,
91235,2024-01-25,food,19,,,
91235,2024-01-25,alcohol,11,,,
93430,2024-01-25,coffee,12,,,
93430,2024-01-25,food,16,,,
93430,2024-01-25,alcohol,12,,,
5963,2024-01-25,coffee,11,,,
5963,2024-01-25,food,12,,,
5963,2024-01-25,alcohol,17,,,
29926,2024-01-25,coffee,10,,,
29926,2024-01-25,food,26,,,
29926,2024-01-25,alcohol,15,,,
67471,2024-01-25,coffee,12,,,
67471,2024-01-25,food,14,,,
67471,2024-01-25,alcohol,1,,,
36235,2024-01-25,coffee,7,,,
36235,2024-01-25,food,32,,,
36235,2024-01-25,alcohol,2,,,
8122,2024-01-25,coffee,8,,,
8122,2024-01-25,food,12,,,
8122,2024-01-25,alcohol,13,,,
85641,2024-01-25,coffee,5,,,
85641,2024-01-25,food,10,,,
85641,2024-01-25,alcohol,4,,,
88791,2024-01-25,coffee,12,,,
88791,2024-01-25,food,32,,,
88791,2024-01-25,alcohol,21,,,
39853,2024-01-25,coffee,8,,,
39853,2024-01-25,food,24,,,
39853,2024-01-25,alcohol,19,,,
91235,2024-01-26,coffee,12,,,
91235,2024-01-26,food,29,,,
91235,2024-01-26,alcohol,25,,,
93430,2024-01-26,coffee,12,,,
93430,2024-01-26,food,18,,,
93430,2024-01-26,alcohol,4,,,
5963,2024-01-26,coffee,12,,,
5963,2024-01-26,food,32,,,
5963,2024-01-26,alcohol,20,,,
29926,2024-01-26,coffee,6,,,
29926,2024-01-26,food,37,,,
29926,2024-01-26,alcohol,14,,,
67471,2024-01-26,coffee,5,,,
67471,2024-01-26,food,32,,,
67471,2024-01-26,alcohol,19,,,
36235,2024-01-26,coffee,10,,,
36235,2024-01-26,food,15,,,
36235,2024-01-26,alcohol,0,,,
8122,2024-01-26,coffee,9,,,
8122,2024-01-26,food,21,,,
8122,2024-01-26,alcohol,5,,,
85641,2024-01-26,coffee,9,,,
85641,2024-01-26,food,33,,,
85641,2024-01-26,alcohol,21,,,
88791,2024-01-26,coffee,7,,,
88791,2024-01-26,food,12,,,
88791,2024-01-26,alcohol,22,,,
39853,2024-01-26,coffee,10,,,
39853,2024-01-26,food,10,,,
39853,2024-01-26,alcohol,24,,,
91235,2024-01-27,coffee,6,,,
91235,2024-01-27,food,14,,,
91235,2024-01-27,alcohol,10,,,
93430,2024-01-27,coffee,5,,,
93430,2024-01-27,food,27,,,
93430,2024-01-27,alcohol,18,,,
5963,2024-01-27,coffee,10,,,
5963,2024-01-27,food,30,,,
5963,2024-01-27,alcohol,3,,,
29926,2024-01-27,coffee,6,,,
29926,2024-01-27,food,14,,,
29926,2024-01-27,alcohol,12,,,
67471,2024-01-27,coffee,11,,,
67471,2024-01-27,food,27,,,
67471,2024-01-27,alcohol,19,,,
36235,2024-01-27,coffee,5,,,
36235,2024-01-27,food,16,,,
36235,2024-01-27,alcohol,9,,,
8122,2024-01-27,coffee,8,,,
8122,2024-01-27,food,20,,,
8122,2024-01-27,alcohol,13,,,
85641,2024-01-27,coffee,11,,,
85641,2024-01-27,food,37,,,
85641,2024-01-27,alcohol,9,,,
88791,2024-01-27,coffee,6,,,
88791,2024-01-27,food,37,,,
88791,2024-01-27,alcohol,25,,,
39853,2024-01-27,coffee,7,,,
39853,2024-01-27,food,39,,,
39853,2024-01-27,alcohol,18,,,
91235,2024-01-28,coffee,12,,,
91235,2024-01-28,food,40,,,
91235,2024-01-28,alcohol,17,,,
93430,2024-01-28,coffee,12,,,
93430,2024-01-28,food,22,,,
93430,2024-01-28,alcohol,4,,,
5963,2024-01-28,coffee,5,,,
5963,2024-01-28,food,35,,,
5963,2024-01-28,alcohol,4,,,
29926,2024-01-28,coffee,6,,,
29926,2024-01-28,food,14,,,
29926,2024-01-28,alcohol,8,,,
67471,2024-01-28,coffee,11,,,
67471,2024-01-28,food,26,,,
67471,2024-01-28,alcohol,15,,,
36235,2024-01-28,coffee,5,,,
36235,2024-01-28,food,21,,,
36235,2024-01-28,alcohol,21,,,
8122,2024-01-28,coffee,5,,,
8122,2024-01-28,food,36,,,
8122,2024-01-28,alcohol,17,,,
85641,2024-01-28,coffee,7,,,
85641,2024-01-28,food,27,,,
85641,2024-01-28,alcohol,5,,,
88791,2024-01-28,coffee,10,,,
88791,2024-01-28,food,32,,,
88791,2024-01-28,alcohol,11,,,
39853,2024-01-28,coffee,7,,,
39853,2024-01-28,food,38,,,
39853,2024-01-28,alcohol,11,,,
